,date_block_num,item_code,item_cnt_month,sales_region_code,first_cate_code,second_cate_code,sales_region_code_0_Y,sales_region_code_1_Y,sales_region_code_2_Y,sales_region_code_4_Y,first_cate_code_0_Y,first_cate_code_1_Y,first_cate_code_2_Y,first_cate_code_3_Y,first_cate_code_4_Y,first_cate_code_5_Y,first_cate_code_6_Y,first_cate_code_7_Y,second_cate_code_0_Y,second_cate_code_1_Y,second_cate_code_2_Y,second_cate_code_3_Y,second_cate_code_4_Y,second_cate_code_5_Y,second_cate_code_6_Y,second_cate_code_7_Y,second_cate_code_8_Y,second_cate_code_9_Y,second_cate_code_10_Y,second_cate_code_11_Y
0,38,20002,36.0,101,303,406,63.13286365605192,,,,,,30.952744191853796,,,,,,,,,,,31.428119592816955,,,,,,
1,38,20006,25.0,101,307,403,187.50977174336867,,,,,,,,,,111.36760009090746,,,,111.36760009090746,,,,,,,,,
2,38,20016,1057.0,101,303,401,596.6721882903895,,,,,,674.0407666712234,,,,,,774.2055245063627,,,,,,,,,,,
3,38,20018,2340.0,101,306,407,1768.65338795174,,,,,,,,,1814.618738624625,,,,,,,,,1928.7641871118917,,,,,
4,38,20024,137.0,101,306,402,608.8256293620104,,,,,,,,,1113.5358763804381,,,,794.1687000360762,,,,,,,,,,
5,38,20041,1911.0,101,302,408,2807.519498970794,,,,,3290.930563745715,,,,,,,,,,,,,,3290.930563745715,,,,
6,38,20049,53.0,101,302,408,44.709965321273025,,,,,31.305623293282117,,,,,,,,,,,,,,31.305623293282117,,,,
7,38,20056,3.0,101,302,408,145.13531305840004,,,,,106.7056489149242,,,,,,,,,,,,,,106.7056489149242,,,,
8,38,20058,34.0,101,303,401,17.079569533523387,,,,,,2.8647382929796796,,,,,,3.867102996080354,,,,,,,,,,,
9,38,20066,5.0,101,302,408,4.872587151823274,,,,,5.363835422570534,,,,,,,,,,,,,,5.363835422570534,,,,
10,38,20067,11.0,101,306,407,12.891869857776882,,,,,,,,,11.799550694092467,,,,,,,,,13.571081973960577,,,,,
11,38,20076,7.0,101,303,401,82.20933561234077,,,,,,48.4749241948056,,,,,,95.18183642752453,,,,,,,,,,,
12,38,20086,22.0,101,303,401,8.526967925587293,,,,,,8.585418299020784,,,,,,11.266507237344273,,,,,,,,,,,
13,38,20089,60.0,101,307,403,124.3207144810173,,,,,,,,,,107.79441342470759,,,,107.79441342470759,,,,,,,,,
14,38,20091,52.0,101,308,404,109.86093935225028,,,,,,,,,,,39.55218525915427,,,,39.55218525915427,,,,,,,,
15,38,20093,2043.0,101,306,407,2308.2585033617443,,,,,,,,,2435.6403412393856,,,,,,,,,2708.915474577564,,,,,
16,38,20103,18.0,101,303,401,14.136595748986002,,,,,,9.874899618240738,,,,,,8.534977324145103,,,,,,,,,,,
17,38,20104,6.0,101,303,401,7.3915620303795695,,,,,,8.14916548496049,,,,,,7.200046384317872,,,,,,,,,,,
18,38,20107,82.0,101,306,407,229.80638831796048,,,,,,,,,189.47509910422048,,,,,,,,,195.29804619614603,,,,,
19,38,20111,4144.0,101,306,407,2104.215466540541,,,,,,,,,2733.1306938857724,,,,,,,,,2390.197381393052,,,,,
20,38,20113,6110.0,101,308,404,2006.662346015584,,,,,,,,,,,1939.3017950545286,,,,1939.3017950545286,,,,,,,,
