sales_region_code,item_code,2019年1月预测需求量,2019年2月预测需求量,2019年3月预测需求量
101,20002,33.6425808803388,33.3452837586039,17.1232318045442
101,20003,139.499284855533,49.7640816500674,59.0852501095268
101,20006,50.6959766493476,64.4396961731136,81.8649300556436
101,20011,204.637414660221,330.121127446106,363.182051427266
101,20014,93.887622899496,19.8442433945242,86.9386281972013
101,20016,438.037799567464,200.638134879117,185.617200779619
101,20018,978.469894109547,1064.56313329936,222.195171320631
101,20020,1.57544987075384,3.44269429958905,5.76424502532899
101,20021,7.37495329646393,2.86195295940794,5.04845774255794
101,20024,281.134549913328,146.99077573442,150.963970489444
101,20039,229.916661544231,444.252981630092,183.76467239915
101,20041,1006.28560318243,523.399431328292,697.495970808005
101,20046,156.540644463794,79.4515482361069,111.669232847972
101,20049,33.763627411919,20.7581492473852,9.2580872996117
101,20055,13.7767058085699,2.04024301121685,6.71849716402662
101,20058,26.7713566541487,28.7106282925883,10.5994898701413
101,20076,13.7511016343145,55.3732465151653,14.0774776013527
101,20085,22.71363275332,26.7924264351736,8.27676646527585
101,20086,39.3517593653821,23.9287773252923,23.6446037075214
101,20088,421.622504638479,527.234053401053,457.942933077272
101,20089,94.0593029424816,17.3086264195072,21.3340106452249
101,20091,66.3977685223627,169.110910106545,125.545871360619
101,20093,864.771807165171,394.739243454719,606.607613534411
101,20107,121.612975108072,90.9295140474816,34.6138457411712
101,20111,2145.05825373932,2365.73859888474,401.612624515812
101,20113,2414.2888916371,1658.70589814266,2635.88908997443
101,20114,323.212379522291,385.286849068103,372.89453520881
101,20118,85.6599921156979,65.2411362171774,25.7603409454623
101,20119,137.639827733994,199.123791892264,137.076694281109
101,20121,30.765017228332,248.20581304988,609.540172325267
101,20127,19.8149327962326,17.0139967223081,56.0225863015776
101,20131,799.56801993163,1369.60835634192,1327.38153866238
101,20134,45.2968485483959,63.6839308224298,25.3239650441753
101,20135,38.837478413355,14.4350272085062,17.7010490098235
101,20139,89.1056509805693,41.3568766845202,33.5064262917865
101,20140,15.9814136840358,8.38945665361683,5.15147709935073
101,20142,3.10821263881706,2.75990071434703,5.72292716464911
101,20145,43.9102686253955,14.7243366778464,8.46373594898175
101,20146,2405.9397584041,1129.10456796459,532.987957845108
101,20150,4.97910861219538,8.33459890697882,5.00203087907335
101,20151,103.414593302161,69.9355879935312,36.0814189077758
101,20152,924.163425745384,409.874004146071,376.266483479168
101,20156,346.154512671115,41.7223554180381,47.0077489531447
101,20157,26.4434599361524,8.96698354652943,4.36076219304363
101,20160,89.9660817706714,13.6084545565394,7.71116262168207
101,20162,231.904752040243,66.3772862197288,14.6614227732385
101,20163,16.1765800288612,7.70406858959479,6.51855159811118
101,20164,15.8106760640051,15.8723462241025,7.16413138923114
101,20165,215.15030558508,238.248729663276,438.271336690994
101,20169,10.7686313205162,6.12498332709904,6.46748183999793
101,20172,50.7942785588992,26.2614432929874,28.3600970108095
101,20173,75.8605763149042,63.9335717595823,22.6209601379119
101,20175,8.23352971982904,7.86050885774612,8.11518256099384
101,20178,129.922146656259,111.985511595797,96.7484319492958
101,20182,597.194543588203,228.452493104466,271.025352943167
101,20187,37.1968519126141,22.4030146858564,12.9521862073787
101,20191,251.704961394395,313.233314087055,428.557459316177
101,20192,23.8571920699344,9.64490770723835,34.5224229025502
101,20193,122.969477799545,44.2154784027126,146.643592629536
101,20195,1479.20914858797,405.232849272145,824.011742415223
101,20198,189.328604513312,250.37471065075,378.8520340872
101,20206,246.083110587501,68.9546002423213,97.0530105755969
101,20215,1329.21542481945,306.341697281809,208.324227455083
101,20218,3.22325056907856,6.53408935418686,12.8959650462162
101,20221,884.158323115373,712.974139883578,919.077306184192
101,20224,3747.35215411344,3390.2528374567,3948.93969064592
101,20226,218.785700782122,109.630194328437,68.3996216497502
101,20227,914.423684351174,487.590865538712,848.361383489051
101,20230,9.51935436692834,4.52051243672037,6.94069500333484
101,20231,269.608487405691,101.381576038568,103.718963371358
