date_block_num,sales_region_code,item_code,item_cnt_month,first_cate_code,second_cate_code
0,101,20003,0.0,301,405
0,101,20006,0.0,307,403
0,101,20007,3092.0,305,412
0,101,20008,308.0,303,401
0,101,20009,260.0,306,407
0,101,20013,150.0,303,401
0,101,20019,19.0,302,408
0,101,20020,265.0,305,412
0,101,20026,132.0,302,408
0,101,20028,0.0,301,405
0,101,20031,147.0,306,407
0,101,20038,0.0,307,403
0,101,20043,0.0,302,408
0,101,20050,0.0,308,404
0,101,20064,0.0,307,403
0,101,20065,0.0,308,404
0,101,20070,0.0,302,408
0,101,20072,56.0,303,401
0,101,20082,218.0,305,412
0,101,20085,0.0,301,405
0,101,20092,3628.0,306,407
0,101,20096,331.0,306,407
0,101,20110,0.0,307,403
0,101,20116,106.0,306,407
0,101,20122,0.0,302,408
0,101,20139,0.0,306,407
0,101,20140,123.0,305,412
0,101,20174,857.0,303,401
0,101,20179,0.0,307,403
0,101,20180,0.0,307,403
0,101,20189,804.0,305,412
0,101,20194,43.0,305,412
0,101,20197,56.0,302,408
0,101,20200,484.0,305,412
0,101,20201,0.0,302,408
0,101,20202,111.0,303,401
0,101,20205,94.0,306,407
0,101,20208,0.0,302,408
0,101,20219,0.0,301,405
0,101,20226,2336.0,303,401
0,101,20230,3390.0,306,407
0,101,20233,0.0,307,403
0,101,20247,405.0,306,407
0,101,20260,6596.0,306,407
0,101,20265,106.0,306,407
0,101,20266,0.0,308,404
0,101,20271,13.0,306,407
0,101,20277,0.0,302,408
0,101,20279,5020.0,306,407
0,101,20283,2648.0,306,407
0,101,20285,2554.0,305,412
0,101,20302,617.0,305,412
0,101,20316,0.0,301,405
0,101,20322,269.0,306,407
0,101,20323,4256.0,305,412
0,101,20326,0.0,306,407
0,101,20327,824.0,302,408
0,101,20333,0.0,302,408
0,101,20338,0.0,302,408
0,101,20340,0.0,308,404
0,101,20342,3880.0,305,412
0,101,20348,0.0,306,407
0,101,20351,641.0,305,412
0,101,20354,240.0,303,401
0,101,20362,0.0,307,403
0,101,20363,117.0,302,408
0,101,20365,66.0,302,408
0,101,20367,0.0,304,409
0,101,20368,403.0,306,407
0,101,20372,222.0,303,401
0,101,20374,403.0,305,412
0,101,20378,259.0,306,407
0,101,20379,0.0,302,408
0,101,20392,0.0,306,407
0,101,20402,157.0,303,401
0,101,20408,0.0,302,408
0,101,20410,0.0,307,403
0,101,20411,0.0,304,409
0,101,20413,207.0,306,407
0,101,20414,0.0,308,404
0,101,20415,1031.0,305,412
0,101,20416,0.0,301,405
0,101,20423,555.0,303,401
0,101,20431,0.0,306,407
0,101,20433,163.0,305,412
