date_block_num,sales_region_code,item_code,item_cnt_month,first_cate_code,second_cate_code
4,101,20003,0,301,405
4,101,20005,3,306,407
4,101,20006,0,307,403
4,101,20008,357,303,401
4,101,20009,10,306,407
4,101,20012,215,306,407
4,101,20013,31,303,401
4,101,20019,27,302,408
4,101,20020,993,305,412
4,101,20023,0,307,403
4,101,20026,98,302,408
4,101,20027,0,301,405
4,101,20031,429,306,407
4,101,20037,501,302,408
4,101,20038,0,307,403
4,101,20043,0,302,408
4,101,20045,2198,306,407
4,101,20065,0,308,404
4,101,20070,0,302,408
4,101,20071,2810,306,407
4,101,20082,240,305,412
4,101,20083,0,308,404
4,101,20085,0,301,405
4,101,20086,0,303,401
4,101,20092,8800,306,407
4,101,20095,0,308,404
4,101,20096,22,306,407
4,101,20116,25,306,407
4,101,20122,0,302,408
4,101,20132,0,305,412
4,101,20134,1381,305,412
4,101,20135,648,303,401
4,101,20136,65,305,412
4,101,20139,5,306,407
4,101,20140,941,305,412
4,101,20151,1249,305,412
4,101,20152,1434,305,412
4,101,20155,0,303,401
4,101,20174,3064,303,401
4,101,20179,0,307,403
4,101,20189,3108,305,412
4,101,20194,3484,305,412
4,101,20200,388,305,412
4,101,20201,0,302,408
4,101,20202,31,303,401
4,101,20205,14,306,407
4,101,20208,82,302,408
4,101,20219,0,301,405
4,101,20226,9880,303,401
4,101,20230,8300,306,407
4,101,20236,8,306,407
4,101,20247,308,306,407
4,101,20260,181,306,407
4,101,20265,546,306,407
4,101,20271,241,306,407
4,101,20276,6356,306,407
4,101,20277,0,302,408
4,101,20279,8670,306,407
4,101,20280,0,308,404
4,101,20283,2388,306,407
4,101,20285,5664,305,412
4,101,20293,0,301,405
4,101,20302,401,305,412
4,101,20305,1010,305,412
4,101,20312,0,306,407
4,101,20316,0,301,405
4,101,20322,0,306,407
4,101,20323,8920,305,412
4,101,20327,1582,302,408
4,101,20333,0,302,408
4,101,20338,0,302,408
4,101,20340,0,308,404
4,101,20342,36,305,412
4,101,20351,334,305,412
4,101,20352,310,305,412
4,101,20354,293,303,401
4,101,20363,883,302,408
4,101,20365,304,302,408
4,101,20367,0,304,409
4,101,20368,1074,306,407
4,101,20374,216,305,412
4,101,20376,7,305,412
4,101,20378,79,306,407
4,101,20379,0,302,408
4,101,20392,0,306,407
4,101,20400,0,304,409
4,101,20402,130,303,401
4,101,20408,0,302,408
4,101,20410,0,307,403
4,101,20413,62,306,407
4,101,20414,0,308,404
4,101,20415,340,305,412
4,101,20416,0,301,405
4,101,20423,232,303,401
4,101,20431,0,306,407
4,101,20433,1139,305,412
4,101,20437,0,307,403
4,101,20441,7,306,407
4,101,20445,0,303,401
4,101,20448,0,308,404
4,101,20457,11464,305,412
4,101,20458,22,306,407
4,101,20459,756,305,412
4,101,20477,0,308,404
4,101,20481,2428,306,407
4,101,20483,389,305,412
4,101,20487,44,303,401
4,101,20488,0,306,407
4,101,20489,0,307,403
4,101,20492,0,307,403
4,101,20493,8,306,407
4,101,20498,12,306,407
4,101,20502,758,305,412
4,101,20506,0,303,401
4,101,20512,0,308,404
4,101,20514,0,302,408
4,101,20516,0,302,408
4,101,20518,606,305,412
4,101,20520,0,306,407
4,101,20521,8,306,407
4,101,20527,0,303,406
4,101,20529,0,304,409
4,101,20531,0,307,403
4,101,20537,0,306,407
4,101,20541,29,302,408
4,101,20542,0,302,408
