sales_region_code,item_code,first_cate_code,secnod_cate_code,ds,yhat
101,20002,303,406,2015-09,0.0
101,20002,303,406,2015-10,0.0
101,20002,303,406,2015-11,0.0
101,20002,303,406,2015-12,0.0
101,20002,303,406,2016-01,0.0
101,20002,303,406,2016-02,0.01671996244515779
101,20002,303,406,2016-03,0.0
101,20002,303,406,2016-04,0.0
101,20002,303,406,2016-05,0.0
101,20002,303,406,2016-06,0.0
101,20002,303,406,2016-07,0.0
101,20002,303,406,2016-08,0.0
101,20002,303,406,2016-09,0.0
101,20002,303,406,2016-10,0.0
101,20002,303,406,2016-11,0.01769132078246573
101,20002,303,406,2016-12,0.15812469925501405
101,20002,303,406,2017-01,0.002956351660212458
101,20002,303,406,2017-02,0.0
101,20002,303,406,2017-03,0.11499441626216785
101,20002,303,406,2017-04,1.2298701605835591
101,20002,303,406,2017-05,0.9823730819299723
101,20002,303,406,2017-06,0.8341390826717626
101,20002,303,406,2017-07,0.7698056700667655
101,20002,303,406,2017-08,0.3303229120800615
101,20002,303,406,2017-09,0.7212827618151567
101,20002,303,406,2017-10,0.27171285574216025
101,20002,303,406,2017-11,1.2077120307642795
101,20002,303,406,2017-12,11.40201915513589
101,20002,303,406,2018-01,5.1750773747156025
101,20002,303,406,2018-02,4.539353047217633
101,20002,303,406,2018-03,11.314544773312754
101,20002,303,406,2018-04,127.99059099673012
101,20002,303,406,2018-05,105.91767795239176
101,20002,303,406,2018-06,84.12374816978908
101,20002,303,406,2018-07,75.05655387294173
101,20002,303,406,2018-08,28.79836804682124
101,20002,303,406,2018-09,51.219240523117676
101,20002,303,406,2018-10,16.889650096143384
101,20002,303,406,2018-11,34.186138391606164
101,20002,303,406,2018-12,113.41073142722566
101,20002,303,406,2019-01,34.37107581675353
101,20002,303,406,2019-02,7.172246237069507
101,20002,303,406,2019-03,42.3085325240367
101,20003,301,405,2015-09,0.0
101,20003,301,405,2015-10,0.0
101,20003,301,405,2015-11,0.0
101,20003,301,405,2015-12,0.0
101,20003,301,405,2016-01,0.0
101,20003,301,405,2016-02,1.0303046324596503
101,20003,301,405,2016-03,0.0
101,20003,301,405,2016-04,0.0
101,20003,301,405,2016-05,2.737616301006684
101,20003,301,405,2016-06,2.614191534549383
101,20003,301,405,2016-07,1.7506525999603204
101,20003,301,405,2016-08,4.921590910055436
101,20003,301,405,2016-09,7.696702689021438
101,20003,301,405,2016-10,26.79240170728742
101,20003,301,405,2016-11,14.63629764126601
